,doc_key,Lead Time,Cycle Time,Epic Link
0,SOLQA-181,5.0,4,SOL-1836
1,SOLQA-178,9.0,6,SOL-1836
2,SOLQA-176,8.0,6,SOL-1836
3,SOLQA-175,4.0,3,SOL-1836
4,SOLQA-174,12.0,6,SOL-1836
5,SOLQA-173,17.0,11,SOL-1836
6,SOLQA-172,16.0,12,SOL-1836
7,SOLQA-171,8.0,6,SOL-1836
8,SOLQA-170,12.0,9,SOL-1836
9,SOLQA-169,5.0,4,SOL-1836
10,SOLQA-168,4.0,3,SOL-1836
11,SOLQA-167,1.0,0,SOL-1836
12,SOLQA-166,5.0,3,SOL-1836
13,SOLQA-165,9.0,7,SDCG-8
14,SOLQA-164,11.0,10,SDCG-8
15,SOLQA-163,6.0,5,SDCG-8
16,SOLQA-162,26.0,7,SOL-1836
17,SOLQA-161,7.0,5,SOL-1836
18,SOLQA-160,0.0,0,SOL-1836
19,SOLQA-158,1.0,0,SOL-1836
20,SOLQA-157,31.0,24,SOL-1836
21,SOLQA-156,22.0,8,SOL-1836
22,SOLQA-155,46.0,23,SOL-1836
23,SOLQA-154,11.0,1,SOL-1836
24,SOLQA-153,4.0,2,SOL-1836
25,SOLQA-152,74.0,16,SOL-1836
26,SOLQA-151,14.0,10,SOL-1836
27,SOLQA-150,8.0,6,SOL-1836
28,SOLQA-149,85.0,6,SOL-1836
29,SOLQA-148,5.0,0,SOL-1836
30,SOLQA-147,8.0,4,SOL-1836
31,SOLQA-146,14.0,1,SOL-1836
32,SOLQA-145,2.0,1,SOL-1836
33,SOLQA-144,1.0,0,SOL-1836
34,SOLQA-143,1.0,0,SOL-1836
35,SOLQA-142,8.0,7,SOL-1836
36,SOLQA-141,103.0,30,SOL-1836
37,SOLQA-140,103.0,7,SOL-1836
38,SOLQA-139,14.0,7,SOL-1836
39,SOLQA-138,22.0,18,SOL-1836
40,SOLQA-136,7.0,6,SDCG-10
41,SOLQA-135,58.0,54,SOL-1836
42,SOLQA-134,12.0,3,SOL-1836
43,SOLQA-133,12.0,10,SDCG-10
44,SOLQA-131,8.0,5,SDCG-10
45,SOLQA-130,43.0,35,SDCG-10
46,SOLQA-129,13.0,10,SDCG-10
47,SOLQA-128,1.0,0,SOL-1836
48,SOLQA-127,36.0,25,SDCG-10
49,SOLQA-125,0.0,0,SOL-1836
50,SOLQA-124,6.0,4,SOL-1836
51,SOLQA-123,14.0,13,SOL-1635
52,SOLQA-122,9.0,7,SOL-1836
