,doc_key,story_points,lead_time,resolution_date
0,SOL-1341,86,209,2018-11-14
1,SOL-1343,92,109,2018-04-24
2,SOL-1533,99,127,2018-11-14
3,SOL-1534,73,309,2019-05-16
4,SOL-1585,58,152,2018-12-12
5,SOL-1155,0,0,2021-03-31
6,SOL-1635,166,182,2019-07-05
7,SOL-1658,126,426,2019-11-13
8,SOL-1536,29,206,2019-08-26
9,SOL-1553,47,213,2019-09-02
10,SOL-1608,50,571,2019-10-29
11,SOL-1666,0,0,2021-03-31
12,SOL-1724,79,273,2019-11-04
13,SOL-1767,45,102,2019-08-26
14,SOL-1866,60,223,2019-07-22
15,SOL-1836,604,492,2021-03-26
16,SOL-1843,0,0,2021-03-31
17,SOL-1852,0,0,2021-03-31
18,SOL-1919,71,131,2020-02-26
19,SOL-1946,0,0,2021-03-31
20,SOL-1947,0,0,2021-03-31
21,SOL-1948,0,0,2021-03-31
22,SOL-1949,55,511,2020-06-01
23,SOL-2190,99,86,2020-12-15
24,SOL-2162,21,426,2021-02-16
25,SOL-2140,0,0,2021-03-31
