,doc_key,Points,Lead Time,Cycle Time
0,SOL-2220,8.0,8.0,7
1,SOL-2217,13.0,41.0,39
2,SOL-2210,13.0,22.0,20
3,SOL-2202,13.0,36.0,14
4,SOL-2201,8.0,19.0,9
5,SOL-2199,5.0,16.0,2
6,SOL-2198,13.0,86.0,34
7,SOL-2197,13.0,54.0,18
8,SOL-2196,21.0,37.0,26
9,SOL-2195,21.0,50.0,38
10,SOL-2191,13.0,50.0,3
11,SOL-2188,8.0,9.0,4
12,SOL-2187,13.0,22.0,0
13,SOL-2173,21.0,152.0,21
14,SOL-2166,8.0,32.0,21
15,SOL-2165,21.0,97.0,91
16,SOL-2153,13.0,41.0,22
17,SOL-2130,8.0,24.0,12
18,SOL-2129,8.0,182.0,1
19,SOL-2124,8.0,19.0,13
20,SOL-2108,13.0,106.0,46
21,SOL-2102,13.0,42.0,25
22,SOL-2099,13.0,78.0,16
23,SOL-2096,21.0,48.0,7
24,SOL-2095,21.0,145.0,37
25,SOL-2090,21.0,172.0,29
26,SOL-2089,13.0,172.0,16
27,SOL-2082,13.0,50.0,9
28,SOL-2062,8.0,148.0,12
29,SOL-2057,13.0,80.0,24
30,SOL-2056,21.0,31.0,24
31,SOL-2051,8.0,105.0,6
32,SOL-2050,8.0,34.0,3
33,SOL-2049,8.0,57.0,8
34,SOL-2048,21.0,173.0,101
35,SOL-2047,13.0,216.0,18
36,SOL-2043,8.0,92.0,8
37,SOL-2042,13.0,75.0,18
38,SOL-2041,13.0,174.0,15
39,SOL-2040,8.0,76.0,2
40,SOL-2039,8.0,196.0,3
41,SOL-2038,8.0,283.0,6
42,SOL-2037,8.0,206.0,18
43,SOL-2036,21.0,320.0,15
44,SOL-2034,8.0,426.0,15
45,SOL-2033,13.0,156.0,16
46,SOL-2032,13.0,175.0,15
47,SOL-2031,13.0,128.0,13
48,SOL-2030,3.0,23.0,17
49,SOL-2026,21.0,364.0,23
50,SOL-2025,21.0,120.0,71
51,SOL-2024,21.0,91.0,41
52,SOL-2023,13.0,45.0,25
53,SOL-2022,5.0,32.0,17
54,SOL-2021,21.0,75.0,26
55,SOL-2020,13.0,74.0,25
56,SOL-2019,13.0,75.0,48
57,SOL-2018,3.0,27.0,11
58,SOL-2017,3.0,27.0,12
59,SOL-2016,0.0,87.0,0
60,SOL-2015,21.0,106.0,26
61,SOL-2012,8.0,44.0,36
62,SOL-2009,8.0,26.0,17
63,SOL-2008,13.0,132.0,60
64,SOL-2007,21.0,42.0,40
65,SOL-2006,3.0,7.0,4
66,SOL-2005,3.0,7.0,4
67,SOL-2001,21.0,241.0,15
68,SOL-1999,13.0,94.0,49
69,SOL-1993,13.0,49.0,18
70,SOL-1992,21.0,29.0,24
71,SOL-1988,13.0,102.0,19
72,SOL-1987,13.0,97.0,46
73,SOL-1986,21.0,84.0,37
74,SOL-1985,8.0,59.0,38
75,SOL-1984,13.0,14.0,8
76,SOL-1982,3.0,131.0,86
77,SOL-1977,21.0,9.0,6
78,SOL-1976,5.0,7.0,5
79,SOL-1975,8.0,13.0,11
80,SOL-1965,8.0,11.0,5
81,SOL-1962,13.0,208.0,16
82,SOL-1961,21.0,191.0,26
83,SOL-1960,13.0,186.0,136
84,SOL-1944,13.0,24.0,12
85,SOL-1941,5.0,40.0,26
86,SOL-1940,8.0,42.0,28
87,SOL-1939,8.0,42.0,28
88,SOL-1938,8.0,41.0,27
89,SOL-1937,5.0,181.0,0
90,SOL-1936,13.0,40.0,25
91,SOL-1935,5.0,20.0,6
92,SOL-1899,8.0,37.0,4
93,SOL-1898,3.0,432.0,0
94,SOL-1897,13.0,64.0,17
95,SOL-1896,5.0,40.0,0
96,SOL-1888,3.0,53.0,0
97,SOL-1883,8.0,75.0,19
98,SOL-1882,13.0,77.0,24
99,SOL-1881,13.0,102.0,15
100,SOL-1880,3.0,28.0,8
101,SOL-1879,5.0,28.0,8
102,SOL-1878,8.0,67.0,0
103,SOL-1877,5.0,29.0,2
104,SOL-1876,8.0,39.0,5
105,SOL-1875,5.0,23.0,9
106,SOL-1874,3.0,111.0,0
107,SOL-1873,5.0,10.0,2
108,SOL-1865,8.0,122.0,9
109,SOL-1862,42.0,126.0,21
110,SOL-1860,8.0,108.0,4
111,SOL-1859,8.0,56.0,18
112,SOL-1858,13.0,112.0,23
113,SOL-1857,5.0,651.0,11
114,SOL-1855,13.0,66.0,32
115,SOL-1854,40.0,35.0,34
116,SOL-1817,8.0,10.0,1
117,SOL-1813,13.0,254.0,0
118,SOL-1808,21.0,34.0,0
119,SOL-1800,8.0,43.0,0
120,SOL-1798,5.0,79.0,0
121,SOL-1797,8.0,80.0,2
122,SOL-1796,13.0,80.0,2
123,SOL-1795,21.0,169.0,20
124,SOL-1793,5.0,154.0,11
125,SOL-1792,13.0,167.0,34
126,SOL-1791,5.0,167.0,34
127,SOL-1790,5.0,159.0,6
128,SOL-1788,8.0,123.0,17
129,SOL-1784,5.0,150.0,7
130,SOL-1781,5.0,109.0,9
