,Epic-Key,Estimated,Actual,Lead Time,Points,Error (%),Error (days),Resolution Date
0,SOL-1341,250.0,228.7817505578974,209.0,86.0,-8.48729977684104,-21.218249442102604,20181114.0
1,SOL-1343,300.0,244.74326803868095,109.0,92.0,-18.41891065377301,-55.25673196131905,20180424.0
2,SOL-1533,200.0,263.3650384329284,127.0,99.0,31.68251921646419,63.36503843292837,20181114.0
3,SOL-1534,65.0,194.19846268286642,309.0,73.0,198.76686566594833,129.19846268286642,20190516.0
4,SOL-1585,30.0,154.29466898090755,152.0,58.0,414.31556326969184,124.29466898090755,20181212.0
5,SOL-1635,400.0,868.0893513685187,182.0,166.0,117.02233784212966,468.0893513685187,20190705.0
6,SOL-1658,250.0,349.0839637652982,426.0,126.0,39.63358550611928,99.08396376529822,20191113.0
7,SOL-1536,40.0,77.14733449045377,206.0,29.0,92.86833622613445,37.14733449045377,20190826.0
8,SOL-1553,100.0,125.03188693280441,213.0,47.0,25.031886932804404,25.03188693280441,20190902.0
9,SOL-1608,50.0,148.29395200892444,571.0,50.0,196.58790401784887,98.29395200892444,20191029.0
10,SOL-1724,450.0,210.15998016364995,273.0,79.0,-53.29778218585557,-239.84001983635005,20191104.0
11,SOL-1767,80.0,132.21426810783603,102.0,45.0,65.26783513479504,52.214268107836034,20190826.0
12,SOL-1866,150.0,188.78857781240757,223.0,60.0,25.859051874938377,38.78857781240757,20190722.0
13,SOL-1836,350.0,2334.7386251796297,492.0,604.0,567.0681786227514,1984.7386251796297,20210326.0
14,SOL-1919,150.0,188.87795685593855,131.0,71.0,25.91863790395903,38.87795685593855,20200226.0
15,SOL-1949,150.0,161.59521657624404,511.0,55.0,7.730144384162685,11.595216576244042,20200601.0
16,SOL-2190,150.0,263.3650384329284,86.0,99.0,75.57669228861891,113.36503843292837,20201215.0
17,SOL-2162,100.0,55.86531118274238,426.0,21.0,-44.13468881725762,-44.13468881725762,20210216.0
